date,ea_m2_eur_mi
1999-01-31,3930982
1999-02-28,3905442
1999-03-31,3930847
1999-04-30,3952443
1999-05-31,3968746
1999-06-30,3988595
1999-07-31,4023726
1999-08-31,4024225
1999-09-30,4029253
1999-10-31,4052935
1999-11-30,4066747
1999-12-31,4078868
2000-01-31,4121606
2000-02-29,4136412
2000-03-31,4149339
2000-04-30,4174322
2000-05-31,4168507
2000-06-30,4171277
2000-07-31,4183450
2000-08-31,4209465
2000-09-30,4212330
2000-10-31,4225858
2000-11-30,4226830
2000-12-31,4226952
2001-01-31,4340387
2001-02-28,4363192
2001-03-31,4382791
2001-04-30,4412550
2001-05-31,4429759
2001-06-30,4467986
2001-07-31,4481145
2001-08-31,4501923
2001-09-30,4533918
2001-10-31,4553696
2001-11-30,4588671
2001-12-31,4615510
2002-01-31,4645232
2002-02-28,4650397
2002-03-31,4662027
2002-04-30,4697507
2002-05-31,4719009
2002-06-30,4735880
2002-07-31,4761547
2002-08-31,4785365
2002-09-30,4821013
2002-10-31,4847022
2002-11-30,4890882
2002-12-31,4915147
2003-01-31,4922129
2003-02-28,4968610
2003-03-31,5000011
2003-04-30,5048210
2003-05-31,5088934
2003-06-30,5096544
2003-07-31,5123636
2003-08-31,5160933
2003-09-30,5167505
2003-10-31,5200531
2003-11-30,5217471
2003-12-31,5238327
2004-01-31,5259980
2004-02-29,5281581
2004-03-31,5316424
2004-04-30,5341144
2004-05-31,5355734
2004-06-30,5385279
2004-07-31,5421035
2004-08-31,5438154
2004-09-30,5484081
2004-10-31,5518152
2004-11-30,5542737
2004-12-31,5573540
2005-01-31,5623288
2005-02-28,5653315
2005-03-31,5679341
2005-04-30,5721454
2005-05-31,5762299
2005-06-30,5824959
2005-07-31,5885266
2005-08-31,5914509
2005-09-30,5980748
2005-10-31,6001860
2005-11-30,6027064
2005-12-31,6093186
2006-01-31,6124570
2006-02-28,6175649
2006-03-31,6222149
2006-04-30,6295495
2006-05-31,6317503
2006-06-30,6363553
2006-07-31,6369246
2006-08-31,6406721
2006-09-30,6486139
2006-10-31,6500180
2006-11-30,6556170
2006-12-31,6663329
2007-01-31,6705357
2007-02-28,6739280
2007-03-31,6825507
2007-04-30,6850746
2007-05-31,6917829
2007-06-30,6987296
2007-07-31,7057569
2007-08-31,7100108
2007-09-30,7161755
2007-10-31,7267682
2007-11-30,7323179
2007-12-31,7356073
2008-01-31,7440745
2008-02-29,7505318
2008-03-31,7536659
2008-04-30,7616022
2008-05-31,7674618
2008-06-30,7700435
2008-07-31,7750811
2008-08-31,7787840
2008-09-30,7865188
2008-10-31,8010727
2008-11-30,8035211
2008-12-31,8041762
2009-01-31,8089401
2009-02-28,8112143
2009-03-31,8093515
2009-04-30,8145669
2009-05-31,8140833
2009-06-30,8155197
2009-07-31,8184207
2009-08-31,8176976
2009-09-30,8189516
2009-10-31,8195862
2009-11-30,8181093
2009-12-31,8207839
2010-01-31,8220765
2010-02-28,8228832
2010-03-31,8230444
2010-04-30,8264563
2010-05-31,8283333
2010-06-30,8314433
2010-07-31,8331067
2010-08-31,8367919
2010-09-30,8367910
2010-10-31,8387527
2010-11-30,8404159
2010-12-31,8423299
2011-01-31,8436054
2011-02-28,8444617
2011-03-31,8458122
2011-04-30,8456009
2011-05-31,8480338
2011-06-30,8495988
2011-07-31,8509521
2011-08-31,8558299
2011-09-30,8593759
2011-10-31,8572193
2011-11-30,8588089
2011-12-31,8607320
2012-01-31,8644031
2012-02-29,8679871
2012-03-31,8723292
2012-04-30,8704188
2012-05-31,8746773
2012-06-30,8779098
2012-07-31,8829323
2012-08-31,8846566
2012-09-30,8875881
2012-10-31,8948155
2012-11-30,8975122
2012-12-31,8998474
2013-01-31,9014275
2013-02-28,9049240
2013-03-31,9079682
2013-04-30,9108326
2013-05-31,9129445
2013-06-30,9126627
2013-07-31,9147571
2013-08-31,9183775
2013-09-30,9198843
2013-10-31,9219721
2013-11-30,9235023
2013-12-31,9212026
2014-01-31,9239268
2014-02-28,9267544
2014-03-31,9284719
2014-04-30,9287884
2014-05-31,9337820
2014-06-30,9362807
2014-07-31,9390708
2014-08-31,9433034
2014-09-30,9482753
2014-10-31,9500212
2014-11-30,9559214
2014-12-31,9676028
2015-01-31,9745960
2015-02-28,9761926
2015-03-31,9815782
2015-04-30,9865617
2015-05-31,9909778
2015-06-30,9947884
2015-07-31,10012113
2015-08-31,10030998
2015-09-30,10060424
2015-10-31,10124558
2015-11-30,10182417
2015-12-31,10217313
2016-01-31,10268839
2016-02-29,10320213
2016-03-31,10342705
2016-04-30,10383940
2016-05-31,10423954
2016-06-30,10452292
2016-07-31,10502607
2016-08-31,10528589
2016-09-30,10569166
2016-10-31,10591645
2016-11-30,10662425
2016-12-31,10710530
2017-01-31,10759056
2017-02-28,10814115
2017-03-31,10881654
2017-04-30,10912228
2017-05-31,10928508
2017-06-30,10988182
2017-07-31,11008582
2017-08-31,11066852
2017-09-30,11095402
2017-10-31,11139576
2017-11-30,11176686
2017-12-31,11208278
2018-01-31,11268435
2018-02-28,11278453
2018-03-31,11291026
2018-04-30,11338734
2018-05-31,11422841
2018-06-30,11493849
2018-07-31,11495564
2018-08-31,11513479
2018-09-30,11561802
2018-10-31,11622419
2018-11-30,11665857
2018-12-31,11709917
2019-01-31,11749372
2019-02-28,11810026
2019-03-31,11892106
2019-04-30,11966995
2019-05-31,12031672
2019-06-30,12072408
2019-07-31,12138309
2019-08-31,12240547
2019-09-30,12280081
2019-10-31,12339342
2019-11-30,12376134
2019-12-31,12374612
2020-01-31,12414758
2020-02-29,12485614
2020-03-31,12791700
2020-04-30,12976712
2020-05-31,13131206
2020-06-30,13221345
2020-07-31,13290586
2020-08-31,13349883
2020-09-30,13448807
2020-10-31,13542286
2020-11-30,13637152
2020-12-31,13739962
2021-01-31,13826659
2021-02-28,13914526
2021-03-31,14017030
2021-04-30,14065961
2021-05-31,14155693
2021-06-30,14233356
2021-07-31,14334088
2021-08-31,14425369
2021-09-30,14496442
2021-10-31,14567394
2021-11-30,14613598
2021-12-31,14704178
2022-01-31,14827973
2022-02-28,14911495
2022-03-31,14972711
2022-04-30,15026571
2022-05-31,15073392
2022-06-30,15144213
2022-07-31,15243279
2022-08-31,15382038
2022-09-30,15425262
2022-10-31,15372392
2022-11-30,15313425
2022-12-31,15229110
